Filename,Size,Unit
[F-D]Code Geass Lelouch of the Rebellion Episode 25 'Zero' [480P][Dual-Audio].mkv,86.68,M
[F-D]Code Geass Lelouch of the Rebellion Episode 01 'The Day a New Demon Was Born'[480P][Dual-Audio].mkv,81.08,M
[F-D]Code Geass Lelouch of the Rebellion Episode 05 'The Princess and The Witch'[480P][Dual-Audio].mkv,80.97,M
[F-D]Code Geass Lelouch of the Rebellion Episode 08 'The Black Knights'[480P][Dual-Audio].mkv,80.81,M
[F-D]Code Geass Lelouch of the Rebellion Episode 04 'His Name Is Zero'[480P][Dual-Audio].mkv,80.8,M
[F-D]Code Geass Lelouch of the Rebellion Episode 19 'Island of the Gods'[480P][Dual-Audio].mkv,80.76,M
[F-D]Code Geass Lelouch of the Rebellion Episode 21 'The School Festival Declaration' [480P][Dual-Audio].mkv,80.73,M
[F-D]Code Geass Lelouch of the Rebellion Episode 14 'Geass vs Geass'[480P][Dual-Audio].mkv,80.67,M
[F-D]Code Geass Lelouch of the Rebellion Episode 11 'Battle for Narita' [480P][Dual-Audio].mkv,80.58,M
[F-D]Code Geass Lelouch of the Rebellion Episode 10 'Guren Dances' [FINAL]-OUT.mkv,71.55,M
[F-D]Code Geass Lelouch of the Rebellion Episode 16 'Nunnally Held Hostage'[480P][Dual-Audio].mkv,71.52,M
[F-D]Code Geass Lelouch of the Rebellion Episode 20 'The Battle for Kyushu'[480P][Dual-Audio].mkv,71.46,M
[F-D]Code Geass Lelouch of the Rebellion Episode 12 'The Messenger From Kyoto'[480P][Dual-Audio].mkv,71.44,M
[F-D]Code Geass Lelouch of the Rebellion Episode 22 'Bloodstained Euphy'[480P][Dual-Audio].mkv,71.42,M
[F-D]Code Geass Lelouch of the Rebellion Episode 07 'Attack Cornelia' [480P][Dual-Audio].mkv,71.39,M
[F-D]Code Geass Lelouch of the Rebellion Episode 09 'Refrain' [480P][Dual-Audio].mkv,71.38,M
[F-D]Code Geass Lelouch of the Rebellion Episode 02 'The White Knight Awakens' [480P][Dual-Audio].mkv,71.33,M
[F-D]Code Geass Lelouch of the Rebellion Episode 24 'The Collapsing Stage'[480P][Dual-Audio].mkv,71.25,M
"[F-D]Code Geass Lelouch of the Rebellion Episode 18 'I Order You, Suzaku Kururugi' [480P][Dual-Audio].mkv",71.25,M
[F-D]Code Geass Lelouch of the Rebellion Episode 03 'The False Classmate' [480P][Dual-Audio].mkv,71.24,M
[F-D]Code Geass Lelouch of the Rebellion Episode 06 'The Stolen Mask'[480P][Dual-Audio].mkv,71.24,M
[F-D]Code Geass Lelouch of the Rebellion Episode 17 'Knight' [480P][Dual-Audio].mkv,71.2,M
[F-D]Code Geass Lelouch of the Rebellion Episode 13 'Shirley At Gunpoint'[480P][Dual-Audio].mkv,71.19,M
[F-D]Code Geass Lelouch of the Rebellion Episode 15 'Cheering Mao'[480P][Dual-Audio].mkv,71.12,M
[F-D]Code Geass Lelouch of the Rebellion Episode 23 'At Least With Sorrow' [480P][Dual-Audio].mkv,71.08,M
Readme.txt,56,B
