X-Art Video Collection [1080p]
2013-04-April

Video				Featuring			Release Date

Featherlight			Alice				2-Apr-2013
Pretty Babies			Mia & Lexi			5-Apr-2013
Apartment Number 4		Gianna				7-Apr-2013
Aspirations			Jessica				10-Apr-2013
Everlasting Friendship		Baby				11-Apr-2013
Bottoms Up			Bunny				13-Apr-2013
Old Enough to Know Better	Alice				15-Apr-2013
Rose Petals			Presley				17-Apr-2013
Fashion Models			Bunny & Scarlet			19-Apr-2013
The Sleepover			Leila,Caprice & Angelica	23-Apr-2013
Getting Down			Angelica			25-Apr-2013
Technicolor Dreams		Jessica & Anneli		27-Apr-2013
The Siren			Silvie				29-Apr-2013
Green Eyes			Capri				30-Apr-2013
